idimdb;title;release;runtime;budget;revenue;poster;overview;rating
tt0029583;Snow White and the Seven Dwarfs;1937-12-21;83;1488423;184925486;https://image.tmdb.org/t/p/original/b43jrEguirXjtAVgXMiTvs8wUhC.jpg;"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow Whites beauty surpasses her own.";0.76
tt0032910;Pinocchio;1940-02-23;88;2600000;84300000;https://image.tmdb.org/t/p/original/gN1dQBHi4557cFduIu9njOr6knW.jpg;Lonely toymaker Geppetto has his wishes answered when the Blue Fairy arrives to bring his wooden puppet Pinocchio to life. Before becoming a real boy, however, Pinocchio must prove hes worthy as he sets off on an adventure with his whistling sidekick and conscience, Jiminy Cricket.;0.74
tt0033563;Dumbo;1941-10-22;64;812000;1600000;https://image.tmdb.org/t/p/original/hKDdllslMtsU9JixAv5HR9biXlp.jpg;Dumbo is a baby elephant born with over-sized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy Timothy the Mouse,  the pint-sized pachyderm learns to surmount all obstacles.;0.72
tt0034492;Bambi;1942-08-14;70;858000;267447150;https://image.tmdb.org/t/p/original/wV9e2y4myJ4KMFsyFfWYcUOawyK.jpg;Bambis tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.;0.73
tt0042332;Cinderella;1950-02-22;74;2900000;263591415;https://image.tmdb.org/t/p/original/avz6S9HYWs4O8Oe4PenBFNX4uDi.jpg;Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmothers wand, Cinderellas rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!;0.73
tt0046183;Peter Pan;1953-02-05;77;4000000;87404651;https://image.tmdb.org/t/p/original/6UTZmeQcxbtW32MyR5nKIx7ID4f.jpg;Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good.;0.73
tt0048280;Lady and the Tramp;1955-06-22;76;4000000;93933394;https://image.tmdb.org/t/p/original/y9nf5YIKbwycDFU4fqdKkOV1Am8.jpg;Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Ladys home make her decide to travel with him for a while.;0.73
tt0053285;Sleeping Beauty;1959-02-17;75;6000000;51000000;https://image.tmdb.org/t/p/original/hsQD3U3P8wkU63jgKg9TlK5oxK3.jpg;A beautiful princess born in a faraway kingdom is destined by a terrible curse to prick her finger on the spindle of a spinning wheel and fall into a deep sleep that can only be awakened by true loves first kiss. Determined to protect her, her parents ask three fairies to raise her in hiding. But the evil Maleficent is just as determined to seal the princesss fate.;0.72
tt0055254;One Hundred and One Dalmatians;1961-01-25;79;4000000;215880014;https://image.tmdb.org/t/p/original/9klDisS1sVb5LljRhpYJ0TUbPzt.jpg;When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.;0.72
tt0057546;The Sword in the Stone;1963-12-25;79;3000000;22182353;https://image.tmdb.org/t/p/original/khJZLXR8VT17Tkxy61S1L6BV0pU.jpg;Wart is a young boy who aspires to be a knights squire. On a hunting trip he falls in on Merlin, a powerful but amnesiac wizard who has plans for him beyond mere squiredom. He starts by trying to give him an education, believing that once one has an education, one can go anywhere. Needless to say, it doesnt quite work out that way.;0.72
